state_or_region,sector,year,price
East North Central,commercial,2001,7.226666666666667
East North Central,commercial,2002,7.316666666666666
East North Central,commercial,2003,7.218333333333334
East North Central,commercial,2004,7.3975
East North Central,commercial,2005,7.639166666666667
East North Central,commercial,2006,8.135833333333332
East North Central,commercial,2007,8.485000000000001
East North Central,commercial,2008,9.033333333333333
East North Central,commercial,2009,9.209166666666667
East North Central,commercial,2010,9.352500000000001
East North Central,commercial,2011,9.485833333333334
East North Central,commercial,2012,9.455
East North Central,commercial,2013,9.58
East North Central,commercial,2014,10.021666666666667
East North Central,commercial,2015,9.945833333333333
East North Central,commercial,2016,9.956666666666667
East North Central,commercial,2017,10.160833333333334
East North Central,commercial,2018,10.195
East North Central,commercial,2019,10.200833333333334
East North Central,commercial,2020,10.2775
East North Central,commercial,2021,10.6625
East North Central,commercial,2022,11.596666666666666
East North Central,commercial,2023,11.940833333333332
East North Central,commercial,2024,12.125
East North Central,commercial,2025,12.998333333333333
East North Central,commercial,2026,13.26
East North Central,industrial,2001,4.4575000000000005
East North Central,industrial,2002,4.6241666666666665
East North Central,industrial,2003,4.630833333333333
East North Central,industrial,2004,4.675833333333333
East North Central,industrial,2005,4.9075
East North Central,industrial,2006,5.3525
East North Central,industrial,2007,5.895
East North Central,industrial,2008,6.390833333333333
East North Central,industrial,2009,6.616666666666667
East North Central,industrial,2010,6.521666666666667
East North Central,industrial,2011,6.521666666666667
East North Central,industrial,2012,6.508333333333333
East North Central,industrial,2013,6.645
East North Central,industrial,2014,7.07
East North Central,industrial,2015,6.9675
East North Central,industrial,2016,6.922499999999999
East North Central,industrial,2017,7.076666666666667
East North Central,industrial,2018,7.104166666666667
East North Central,industrial,2019,6.910833333333333
East North Central,industrial,2020,6.776666666666667
East North Central,industrial,2021,7.215
East North Central,industrial,2022,8.226666666666667
East North Central,industrial,2023,7.944166666666667
East North Central,industrial,2024,8.079166666666667
East North Central,industrial,2025,9.022499999999999
East North Central,industrial,2026,10.09
East South Central,commercial,2001,6.2491666666666665
East South Central,commercial,2002,6.3325
East South Central,commercial,2003,6.521666666666667
East South Central,commercial,2004,6.884166666666666
East South Central,commercial,2005,7.185833333333334
East South Central,commercial,2006,7.8875
East South Central,commercial,2007,8.069166666666666
East South Central,commercial,2008,9.053333333333333
East South Central,commercial,2009,9.256666666666666
East South Central,commercial,2010,9.326666666666666
East South Central,commercial,2011,9.790000000000001
East South Central,commercial,2012,9.871666666666666
East South Central,commercial,2013,9.814166666666667
East South Central,commercial,2014,10.343333333333334
East South Central,commercial,2015,10.229166666666666
East South Central,commercial,2016,10.19
East South Central,commercial,2017,10.603333333333333
East South Central,commercial,2018,10.529166666666667
East South Central,commercial,2019,10.743333333333332
East South Central,commercial,2020,10.741666666666667
East South Central,commercial,2021,11.069166666666668
East South Central,commercial,2022,12.163333333333334
East South Central,commercial,2023,12.140833333333333
East South Central,commercial,2024,12.375
East South Central,commercial,2025,13.086666666666666
East South Central,commercial,2026,13.7
East South Central,industrial,2001,3.6999999999999997
East South Central,industrial,2002,3.714166666666667
East South Central,industrial,2003,3.861666666666667
East South Central,industrial,2004,4.0408333333333335
East South Central,industrial,2005,4.370833333333334
East South Central,industrial,2006,4.805000000000001
East South Central,industrial,2007,5.04
East South Central,industrial,2008,5.764166666666667
East South Central,industrial,2009,5.848333333333334
East South Central,industrial,2010,5.831666666666667
