ATERIO_DATA_CENTER_UID,DATA_CENTER_BUILDING_NAME,ATERIO_DATA_CENTER_CAMPUS_UID,DATA_CENTER_CAMPUS_NAME,DATA_CENTER_STAGE,FLG_AI_FACILITY,FLG_BTM_ONSITE_POWER_GENERATION,TOT_PROJECT_COST,ATERIO_PROVIDER_UID,PROVIDER_NAME,PROVIDER_URL,PROVIDER_PUBLIC_PRIVATE,PROVIDER_TICKER_NAME,PROVIDER_BLOOMBERG_TICKER_NAME,STOCK_EXCHANGE_PROVIDER_NAME,PROVIDER_BACKED_BY,CONSTRUCTION_EQUIPMENT_PROVIDER_COMPANIES,PROJECT_FINANCING_COMPANIES,END_USER_COMPANIES,FULL_ADDRESS,ZIP_CODE,COUNTY_FIPS_CODE,COUNTY_NAME,CITY_NAME,PLACE_FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_CODE,COUNTRY_NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,SITE_ACREAGE,TOT_FACILITY_SPACE_SQFT,TOT_DATACENTER_SPACE_SQFT,PROV_PUB_TOT_POWER_CAPACITY_MW,ATERIO_EST_TOT_POWER_CAPACITY_MW,ATERIO_EST_TOT_POWER_CAPACITY_MW_LOWER,ATERIO_EST_TOT_POWER_CAPACITY_MW_UPPER,SELECTED_POWER_CAPACITY_MW,AVG_MARKET_POWER_COST,YEARLY_PUE,TOT_NUM_GENERATORS,DATA_CENTER_ANNOUNCED_DATE,DATA_CENTER_CANCELLED_DATE,DATA_CENTER_PROJECT_WITHDRAWN_DATE,DATA_CENTER_CONSTRUCTION_START_DATE,LATEST_SATELLITE_PICTURE_DATE,PCT_CONSTRUCTION_STATUS,DATA_CENTER_CONSTRUCTION_FINISHED_DATE,DATA_CENTER_ACTIVATION_DATE,ESTIMATED_ACTIVE_DATE_BY,ATERIO_ELECTRICAL_UTILITY_UID,UTILITY_NAME,UTILITY_CODE,UTILITY_PUBLIC_PRIVATE,UTILITY_TICKER_NAME,UTILITY_BLOOMBERG_TICKER_NAME,UTILITY_EXCHANGE_PROVIDER_TICKER_NAME,ATERIO_BAL_AUTH_UID,BAL_AUTH_ABBR,BAL_AUTH_NAME,ATERIO_BAL_AUTH_SUBREGION_UID,BAL_AUTH_SUBREGION_CODE,BAL_AUTH_SUBREGION_NAME,DATASHEET_URL,MAP_URL,PROJECT_PERMIT_URL,CAPEX_URL,PROJECT_EXECUTION_LIKELIHOOD,NOTES,RECORD_CREATED_DATE,RECORD_UPDATED_DATE,UPDATED_AT
14c3ec08-1803-4368-ac7a-fbd879e635eb,Southfield Data Center NW (DC2),15471167-b182-4a84-9204-3befe56d5657,"Southfield, 123NET Campus",Active,,,,f22930d7-d032-4fc9-90dd-ca83628f7994,123NET,https://www.123.net,Private,,,,https://graingp.com/,,,,"24275 Northwestern Hwy, Southfield, MI, USA",48075,26125,Oakland County,Southfield,74900.0,MI,Michigan,US,United States,42.467033,-83.235,,21000.0,8000.0,1.0,1.06,1.01,1.11,1.0,,,,,,,,,,,2006-10-30,,26749c83-6e33-400d-b547-24f87a25d36b,DTE Electric Company,5109.0,Public,DTE,DTE:US,NYSE:DTE,cead66ff-8552-43d5-b723-aeedd7318b2b,MISO,"Midcontinent Independent Transmission System Operator, Inc.",3733cb81-030b-4603-b6fb-0888ceb4bd68,27,Zones 2 and 7 - MISO,https://www.123.net/data-center-colocation/,https://maps.app.goo.gl/5Qw1wJUiGjfo4GHP9,,,,,2024-07-01,2026-03-20,2026-04-01
c5fe22bd-0670-427c-ae03-5674b8e007ef,MIWI1 Wells Building Data Center,,,Active,,,,cc7c624a-756c-4183-8d7a-f4cc9f13aa97,1547 Critical Systems Realty,https://www.1547realty.com,Private,,,,,,,,"324 East Wisconsin Avenue, Milwaukee, WI, USA",53202,55079,Milwaukee County,Milwaukee,53000.0,WI,Wisconsin,US,United States,43.03904,-87.90704,,160000.0,5000.0,0.5,0.6,0.57,0.63,0.5,8.25,,,,,,,,,,2020-09-03,Provider,94a63322-5c22-4deb-b119-22fd3e409638,Wisconsin Electric Power Co,20847.0,Public,WEC,WEC:US,NYSE:WEC,cead66ff-8552-43d5-b723-aeedd7318b2b,MISO,"Midcontinent Independent Transmission System Operator, Inc.",3733cb81-030b-4603-b6fb-0888ceb4bd68,27,Zones 2 and 7 - MISO,https://www.1547realty.com/data-center/milwaukee-wi-miwi1/,https://maps.app.goo.gl/CYGECo5FQo559uWJA,,,,"[2026-01-09 AV] Additional Info: The facility was already functioning as a carrierâ€‘hotel/dataâ€‘center before 2020, but 1547's  footprint at the site began with its acquisition and branded deployment in 2020.",2024-07-01,2026-03-20,2026-04-01
302036dd-074a-45de-92fb-15bc3540a4c7,CHIL1 MTC Data Center,,,Cancelled,,,,cc7c624a-756c-4183-8d7a-f4cc9f13aa97,1547 Critical Systems Realty,https://www.1547realty.com,Private,,,,,,,,"40 E Garfield Blvd, Chicago, IL, USA",60615,17031,Cook County,Chicago,14000.0,IL,Illinois,US,United States,41.794888,-87.62457,,230000.0,230000.0,24.0,34.63,33.02,36.31,24.0,,,,,2024-01-12,,,,,,,,222a249b-639d-4c33-9bba-36724efea762,Commonwealth Edison Co,4110.0,Private (Part of Exelon Corp),EXC,EXC:US,NASDAQ:EXC,35f051b0-f1ce-470d-81d2-ea5c0d197f3a,PJM,"PJM Interconnection, LLC",e84646c2-7438-4a4c-916e-953518bd940a,CE,Commonwealth Edison zone - PJM,https://www.1547realty.com/data-center/chicago-il-chil1/,https://maps.app.goo.gl/2KTnfi5z8T6e9XGi8,,,Low,"[2025-02-12 JR] Additional Info: Data Center sqft and capacity updated.
[2026-01-05 AV] Additional Info: Following the purchase of the building in 2015, no construction activity was observed in the area. In 2024, it was announced that the building would be put up for sale. Status updated to Cancelled.",2024-07-01,2026-03-20,2026-04-01
28ab55b6-0148-4b98-87ad-c0b4d8dd2a05,ORNY1 Orangeburg Data Center,,,Active,,,,cc7c624a-756c-4183-8d7a-f4cc9f13aa97,1547 Critical Systems Realty,https://www.1547realty.com,Private,,,,,,,,"1 Ramland Road South, Orangeburg, NY, USA",10962,36087,Rockland County,Orangeburg,55167.0,NY,New York,US,United States,41.03341,-73.9708,,232000.0,232000.0,24.0,23.16,22.09,24.29,24.0,,,,,,,,,,,2015-01-30,,85d629c4-28b0-47db-b275-107564a0a5d6,Orange & Rockland Utils Inc,14154.0,Private,,,,ee53ff3c-b180-48a0-b3fb-50539e5f46a0,NYISO,New York Independent System Operator,,,,https://www.1547realty.com/data-center/orangeburg-new-york-orny1/,https://maps.app.goo.gl/i1zLybhEV7R2aaTp6,,,,[2025-02-12 JR] Additional Info: Data Center sqft and capacity updated,2024-07-01,2026-02-12,2026-04-01
83b54f12-8ad5-4318-8fbc-0d87e46a07a7,Chester County Data Center Building 1,0d0cee86-6c51-4401-aa69-92d99874a84a,"Philadelphia, 1547 Campus",Announcement,Y,Y,,cc7c624a-756c-4183-8d7a-f4cc9f13aa97,1547 Critical Systems Realty,https://www.1547realty.com,Private,,,,,,,,"Chester Valley Trl, Exton, PA",19341,42029,Chester County,Exton,24440.0,PA,Pennsylvania,US,United States,40.03926,-75.59227,100.0,250000.0,250000.0,72.0,47.7,45.49,50.03,72.0,,,,2024-01-16,,,,2026-02-28,0.0,,2027-03-31,Aterio,52a226db-b188-418c-89dc-e9ec5727be9c,PECO Energy Co,14940.0,Public,EXC,EXC:US,NASDAQ:EXC,35f051b0-f1ce-470d-81d2-ea5c0d197f3a,PJM,"PJM Interconnection, LLC",f1aefb2f-978e-4766-aab5-9efbaed754e9,ME,Metropolitan Edison zone - PJM,https://www.businesswire.com/news/home/20240116194541/en/fifteenfortyseven-Critical-Systems-Realty-Unveils-Details-on-its-Hyperscale-Data-Center-Development-Project-in-Pennsylvania,https://maps.app.goo.gl/PUMR87GtJg6LAYKc8,,,Low,"[2024-12-19 JR] Latest Satellite: 2024-10-29; Construction Status: No Construction; Estimated Active Date By: Aterio
[2025-09-19 YK] Additional Info: Activation Date Updated
[2025-11-26 JR] BTM: carbon-free power generation and solar capabilities",2024-11-22,2026-03-20,2026-04-01
691cc6a7-fd17-4148-89ab-776a6f40e273,TX1 Richardson Data Center,,,Active,,,,6c053c05-6487-42e6-9ad7-5c5b73168dbd,365 Data Centers,https://www.365datacenters.com,Private,,,,,,,,"1001 East Campbell Road, Richardson, TX, USA",75081,48113,Dallas County,Richardson,61796.0,TX,Texas,US,United States,32.976135,-96.70743,,75100.0,75100.0,6.0,6.54,6.24,6.86,6.0,5.51,,,,,,,,,,2002-07-30,,1ebbb343-179f-4d9d-a878-d6b03846b4c4,City of Garland - (TX),6958.0,Public (Municipality),,,,1fc90153-5419-4455-91f9-cee1dda4ed00,ERCOT,"Electric Reliability Council of Texas, Inc.",14cc320b-3a3d-47a9-83a4-e27eff5c1700,NCEN,ERCO - North Central,https://365datacenters.com/richardson-data-center/,https://maps.app.goo.gl/t6xwpcRShHoH4iDj6,,,,,2024-07-01,2026-03-20,2026-04-01
18ae0d0f-6185-486c-9d33-77c155f34105,CH6 Chicago Data Center,,,Active,,,,6c053c05-6487-42e6-9ad7-5c5b73168dbd,365 Data Centers,https://www.365datacenters.com,Private,,,,,,,,"427 South LaSalle Street, Chicago, IL, USA",60605,17031,Cook County,Chicago,14000.0,IL,Illinois,US,United States,41.876213,-87.631454,,10000.0,10000.0,1.0,1.51,1.44,1.58,1.0,,,,,,,,,,,2000-01-01,,222a249b-639d-4c33-9bba-36724efea762,Commonwealth Edison Co,4110.0,Private (Part of Exelon Corp),EXC,EXC:US,NASDAQ:EXC,35f051b0-f1ce-470d-81d2-ea5c0d197f3a,PJM,"PJM Interconnection, LLC",e84646c2-7438-4a4c-916e-953518bd940a,CE,Commonwealth Edison zone - PJM,https://365datacenters.com/chicago-data-center/,https://maps.app.goo.gl/UreXPxboudebAeQZ8,,,,,2024-07-01,2026-03-20,2026-04-01
af48ab77-f0ea-4c39-a5f2-d5f913a2ecee,PA1 Philadelphia Data Center,,,Active,,,,6c053c05-6487-42e6-9ad7-5c5b73168dbd,365 Data Centers,https://www.365datacenters.com,Private,,,,,,,,"1500 Spring Garden Street, Philadelphia, PA, USA",19130,42101,Philadelphia County,Philadelphia,60000.0,PA,Pennsylvania,US,United States,39.962116,-75.164055,,135100.0,135100.0,10.0,9.55,9.11,10.01,10.0,7.14,,,,,,,,,,2007-05-30,,52a226db-b188-418c-89dc-e9ec5727be9c,PECO Energy Co,14940.0,Public,EXC,EXC:US,NASDAQ:EXC,35f051b0-f1ce-470d-81d2-ea5c0d197f3a,PJM,"PJM Interconnection, LLC",ce983ef3-0d1d-4bd4-ae46-013f5f1d08b9,PE,PECO Energy zone - PJM,https://365datacenters.com/philadelphia-data-center-2/,https://maps.app.goo.gl/QvhwLVEkm1Da9j6P9,,,,,2024-07-01,2026-03-20,2026-04-01
dc213783-9242-4152-a4bf-46764dfc5687,CMH01 Columbus OH Data Center Phase 1,9cef7090-d546-11f0-a3aa-3b201b9c9e6f,CMH Columbus OH Data Center Campus,Construction,Y,,,254c3d2c-a09a-4b4f-9cb3-2006286f77b3,5C Data Centers,https://www.5cdatacenters.com/,Private,,,,,FirstEnergy,,,"601 Benjamin Dr, Springfield, OH 45502, USA",45502,39023,Clark County,Springfield,74118.0,OH,Ohio,US,United States,39.912987,-83.723946,40.0,320000.0,320000.0,100.0,42.96,40.97,45.05,100.0,,,,2024-06-19,,,2025-01-01,2026-03-09,0.9,,2026-06-30,Aterio,,,,,,,,35f051b0-f1ce-470d-81d2-ea5c0d197f3a,PJM,"PJM Interconnection, LLC",48653d43-e0c7-46dd-baf2-6b598abf970d,ATSI,"American Transmission Systems, Inc. zone - PJM",https://5c.ai/datacenters,https://maps.app.goo.gl/2gTERUfS4fVEqanM7,https://www.firstenergycorp.com/content/dam/corporate/transmission/Ohio/e-springfield-n-titus-cn.pdf,,High,"[2024-12-19 JR] Latest Satellite: 2024-10-29; Construction Status: Site Preparation; Estimated Active Date By: Aterio; Additional Info: 200MW of power capacity is secured and set for delivery to the site, with the first 100MW scheduled for Q1 2025
[2025-12-09 FC] Construction: Roof installation is largely complete with active mechanical and exterior site work visible; generator installation largely completed.
[2026-03-11 SQ] Construction: Generator installation appears to be complete in the expansion site, there is some minor equipment installation on the original building and the structural connection between both buildings is also complete. Additional Info: 5C aquired a former data center and is planning to renovate it and construct an expansion to reach 200 MW.  Activation date updated from 2026-05-30 to the end of Q2 2026. ",2024-11-18,2026-03-20,2026-04-01
5f8b34d4-0ae0-40c3-b9c0-03ad25db79c9,Perseus Phase I,dee6bd70-dd19-11f0-8ff6-b30471a54151,Perseus Campus,Announcement,Y,,800000000.0,7014049a-e25f-4eb0-97c4-f4c7ec283b3b,AVAIO Digital,https://avaiodigital.com/,Private,,,,,PG&E,,,"2232 Golf Club Rd, Pittsburg, CA, USA",94565,6013,Contra Costa County,Pittsburg,57456.0,CA,California,US,United States,38.012894,-121.909645,101.0,745771.0,745771.0,99.0,67.42,64.29,70.7,99.0,,,,2024-12-12,,,,2026-02-02,0.0,,2027-06-30,Provider,625b7686-055b-46e1-a5a4-4e3dcaf631b4,Pacific Gas & Electric Co.,14328.0,Public,PCG,PCG:US,NYSE:PCG,2950a9eb-39ef-4949-96bd-ecefbf7db624,CAISO,California Independent System Operator,9bbe5250-047e-4a37-8434-4cda4fceb9e5,PGAE,Pacific Gas and Electric,"https://avaiodigital.com/avaio-digital-partners-achieves-major-milestone-for-pittsburg-technology-park-perseus-data-center-project/, https://www.prnewswire.com/news-releases/avaio-digital-marks-major-milestone-as-cec-approves-99mw-for-bay-area-data-center-project-perseus-302636094.html, https://www.pittsburgca.gov/home/showpublisheddocument/16451/638555442556300000",https://maps.app.goo.gl/2rH1ADUVNz9V8iAE7,,,High,"[2025-12-19 FC] Additional Info: Updated co-ordinates, data sheet URL with proposed phased site plan, square footage from 347,740 and added to campus; project could scale up to 500MW delivered in multiple 99MW phases with phase 1 to be delivered by 2027",2024-12-17,2026-02-12,2026-04-01
