state_or_region,year,price_sector,price,renewable_sector,renewable_generation,total_generation_sector,total_generation,dc_sector,data_center_facility_count,data_center_estimated_power_mw,data_center_selected_power_mw,renewable_share,total_wd_mgd
Arizona,2025,commercial,12.3975,commercial,20.0,commercial,148.0,all_sectors,20,891.46,969.02,0.1351351351351351,168.7362352834657
California,2025,commercial,26.1925,commercial,858.0,commercial,2276.0,all_sectors,12,295.95,379.98,0.3769771528998242,2347.040027357181
Colorado,2025,commercial,12.44,commercial,8.0,commercial,23.0,all_sectors,2,45.11,45.0,0.3478260869565217,50.923410933740186
Connecticut,2025,commercial,23.155833333333334,commercial,25.0,commercial,302.0,all_sectors,1,32.0,32.0,0.0827814569536423,1943.9540173581386
Delaware,2025,commercial,12.648333333333332,commercial,8.0,commercial,8.0,all_sectors,2,74.67,80.0,1.0,21.89077832883309
Florida,2025,commercial,11.481666666666667,commercial,414.0,commercial,1023.0,all_sectors,1,10.6,12.0,0.4046920821114369,6065.749245330535
Georgia,2025,commercial,11.478333333333332,commercial,5.0,commercial,5.0,all_sectors,11,607.11,881.3199999999999,1.0,149.7533265240603
Idaho,2025,commercial,9.250833333333334,commercial,36.0,commercial,74.0,all_sectors,1,100.0,100.0,0.4864864864864865,2.027208565063913
Illinois,2025,commercial,13.058333333333332,commercial,9.0,commercial,451.0,all_sectors,15,817.59,1009.36,0.0199556541019955,4949.742135460976
Indiana,2025,commercial,13.8825,commercial,2.0,commercial,188.0,all_sectors,5,251.97,371.0,0.0106382978723404,2940.3479257778167
Iowa,2025,commercial,10.9925,commercial,6.0,commercial,110.0,all_sectors,4,158.09,158.09,0.0545454545454545,294.4440455038818
Maryland,2025,commercial,14.715000000000002,commercial,18.0,commercial,331.0,all_sectors,1,61.69,72.0,0.0543806646525679,1819.116170911938
Massachusetts,2025,commercial,23.081666666666667,commercial,423.0,commercial,1636.0,all_sectors,4,32.49,29.0,0.2585574572127139,42.539099421657255
Michigan,2025,commercial,14.466666666666669,commercial,45.0,commercial,728.0,all_sectors,1,1.06,1.0,0.0618131868131868,4626.904573950208
Minnesota,2025,commercial,12.2375,commercial,151.0,commercial,309.0,all_sectors,2,8.81,5.0,0.4886731391585761,1625.1329804792729
Missouri,2025,commercial,10.5275,commercial,43.0,commercial,205.0,all_sectors,3,246.29,212.0,0.2097560975609756,3582.487028368717
Nebraska,2025,commercial,8.77,commercial,11.0,commercial,12.0,all_sectors,1,40.0,40.0,0.9166666666666666,1168.3065914164024
Nevada,2025,commercial,9.338333333333331,commercial,56.0,commercial,117.0,all_sectors,3,103.76,166.56,0.4786324786324786,9.675570742206956
New Jersey,2025,commercial,16.563333333333333,commercial,519.0,commercial,1230.0,all_sectors,3,114.83,47.0,0.4219512195121951,1666.2942206761356
New York,2025,commercial,20.986666666666668,commercial,615.0,commercial,2081.0,all_sectors,1,23.16,24.0,0.2955309947140798,3981.5618402478976
North Carolina,2025,commercial,10.279166666666669,commercial,113.0,commercial,285.0,all_sectors,4,251.95,272.49,0.3964912280701754,5222.628248184927
Ohio,2025,commercial,11.584166666666668,commercial,21.0,commercial,268.0,all_sectors,12,441.51,649.97,0.0783582089552238,1680.7496451203128
Oklahoma,2025,commercial,9.001666666666667,commercial,-1.0,commercial,-3.0,all_sectors,1,48.84,48.84,0.3333333333333333,307.6319150969468
Oregon,2025,commercial,10.5625,commercial,35.0,commercial,71.0,all_sectors,2,96.89,102.5,0.4929577464788732,18.80262005717649
Pennsylvania,2025,commercial,12.435833333333331,commercial,224.0,commercial,606.0,all_sectors,7,216.7,222.849,0.3696369636963696,2688.8020166407655
Texas,2025,commercial,8.639166666666666,commercial,27.0,commercial,790.0,all_sectors,27,739.72,1700.27,0.0341772151898734,7904.488834530616
Utah,2025,commercial,10.006666666666666,commercial,0.0,commercial,141.0,all_sectors,3,42.12,508.12,0.0,49.72610392437566
Virginia,2025,commercial,9.544166666666667,commercial,396.0,commercial,880.0,all_sectors,40,1812.73,2078.91,0.45,3431.795249078168
Washington,2025,commercial,10.959166666666668,commercial,11.0,commercial,13.0,all_sectors,1,15.66,15.66,0.8461538461538461,37.89768776146168
Wisconsin,2025,commercial,13.050833333333332,commercial,66.0,commercial,135.0,all_sectors,1,0.6,0.5,0.4888888888888889,2489.204488034086
