"Plant.Code","huc_12","YEAR","Plant.Name","County","State","Name.of.Water.Source","coolingType","ModelType","Plant.level_dom_fuel","general_mover","Net.Generation.Year.To.Date","cu_mgd","cu_lower_mgd","cu_upper_mgd","wd_mgd","wd_lower_mgd","wd_upper_mgd"
3,"031602040106",2008,"Barry","Mobile","AL","Mobile River","Complex","complex","multi-fuel","complex",14031145,11.576263727925,9.12515068779086,14.0273767680592,802.118533782944,367.368336959427,5877.84989021889
7,"031501060204",2008,"Gadsden","Etowah","AL","Coosa River","Once-through fresh","river","coal","ST",599689,0.8207843482021,0.640211791597638,1.00135690480656,75.7697564515156,34.5543267450463,561.698436100763
8,"031601090604",2008,"Gorgas","Walker","AL","Warrior River","Once-through fresh","river","coal","ST",7798412,7.03152120384421,5.48458653899848,8.57845586868993,656.859325151138,299.516331464886,4871.9683011266
10,"031601130806",2008,"Greene County","Greene","AL","Warrior River","Once-through fresh","river","coal","ST",3352933,2.96655395402472,2.31391208413928,3.61919582391016,274.086846305388,125.03516477029,2029.65970304697
26,"031501070304",2008,"E C Gaston","Shelby","AL","Coosa River","Complex","complex","coal","ST",11411275,11.3165891234685,9.09298579719081,13.5401924497463,441.004730908997,202.993482629425,3216.67216561919
46,"060300021107",2008,"Browns Ferry","Limestone","AL","Wheeler Reservoir","Complex","complex","nuclear","ST",24923654,31.4631788781793,22.7907534318319,47.7194776501618,2208.79947717234,37.3061170612494,20325.7603730186
47,"060300050807",2008,"Colbert","Colbert","AL","Tennessee River","Once-through fresh","river","coal","ST",7661115,6.88481530473762,5.37015593769535,8.3994746717799,655.997316179859,298.813326975225,4882.89746370586
50,"060300010205",2008,"Widows Creek","Jackson","AL","Tennessee River","Once-through fresh","river","coal","ST",9223597,9.08083999290055,7.08305519446243,11.0786247913387,878.349597975,399.902442385024,6548.8021873971
51,"111402060602",2008,"Dolet Hills","De Soto","LA","Toledo Bend Lake","Recirculating Tower","tower","coal","ST",4892316,7.37597624008031,6.04830051686585,8.70365196329476,10.3263667361124,6.80433808147408,17.4073039265895
56,"031602030901",2008,"Charles R Lowman","Washington","AL","Tombigbee River","Complex","complex","coal","ST",3571254,4.65543157933938,3.79415335553408,5.51670980314467,58.515471513688,27.8647454015962,399.897029750046
59,"102001011107",2008,"Platte","Hall","NE","Wells","Recirculating Tower","tower","coal","ST",664130,0.865658793018018,0.709840210274774,1.02147737576126,1.21192231022522,0.798570236559121,2.04295475152252
60,"102702060409",2008,"Whelan Energy Center","Adams","NE","Wells","Recirculating Tower","tower","coal","ST",524712,0.706059314578129,0.578968637954066,0.833149991202193,0.988483040409381,0.651339717698324,1.66629998240439
87,"130202070105",2008,"Escalante","McKinley","NM","Wells","Recirculating Tower","tower","coal","ST",1742860,2.48789375652884,2.04007288035365,2.93571463270404,3.48305125914038,2.29508199039786,5.87142926540807
108,"110300010804",2008,"Holcomb","Finney","KS","Wells","Recirculating Tower","tower","coal","ST",2782707,3.48193509651853,2.85518677914519,4.10868341389186,4.87470913512594,3.21208512653834,8.21736682778373
113,"150200080603",2008,"Cholla","Navajo","AZ","Lake Wells","Recirculating Tower","tower","coal","ST",7404191,10.0330024734455,8.22706202822532,11.8389429186657,14.0462034628237,9.25544478175348,23.6778858373314
116,"150601060305",2008,"Ocotillo","Maricopa","AZ","Wells","Recirculating Tower","tower","gas","ST",66587,0.152441700552617,0.125002194453146,0.179881206652089,0.213418380773664,0.14062746875979,0.359762413304177
117,"150601060307",2008,"West Phoenix","Maricopa","AZ","Wells","Recirculating Tower","tower","gas","NGCC",1810306,1.61854248849735,1.32720484056782,1.90988013642687,2.26595948389628,1.4931054456388,3.81976027285373
118,"150503030201",2008,"Saguaro","Pinal","AZ","Wells","Recirculating Tower","tower","gas","ST",39625,0.0960982899648183,0.078800597771151,0.113395982158486,0.134537605950746,0.0886506724925449,0.226791964316971
120,"150301080301",2008,"Yucca","Yuma","AZ","Wells","Recirculating Tower","tower","gas","ST",278390,0.472078355005337,0.387104251104376,0.557052458906297,0.660909697007471,0.435492282492423,1.11410491781259
126,"150503010904",2008,"H Wilson Sundt Generating Station","Pima","AZ","Wells","Recirculating Tower","tower","multi-fuel","ST",1047477,1.46044482650913,1.19756475773749,1.72332489528077,2.04462275711278,1.34726035245467,3.44664979056154
127,"111302070303",2008,"Oklaunion","Wilbarger","TX","Lake","Recirculating Tower","tower","coal","ST",4141014,5.82087249661269,4.7731154472224,6.86862954600297,8.14922149525776,5.36975487812521,13.7372590920059
130,"030502010101",2008,"Cross","Berkeley","SC","Diversion Canal","Recirculating Tower","tower","coal","ST",13624106,16.0469621183336,13.1585089370335,18.9354152996336,22.465746965667,14.8033225541627,37.8708305992672
